평점,리뷰
1,예약을 위해선 테이블링 페이라는 간편이체 필수 등록해야함. 과거엔 없었는데 정책이 변한듯. 운영진이 돈독이 오른건지 뭔지 모르겠음. 간편이체를 필수로 하는 어플은 거의 못본거같은데 쓰레기같은 절차를 필수로 만들었음.
5,어느 음식점은 그 지역에 위치해 있어야 예약 가능해서 어제 밤에 설정 다하고 확인도 하고 오늘 시간 되서 예약 할려니 알림 메세지 위치가 안맞다고 해서 설정 들어가보니 설정은 잘 되있대요?? 다시 설정 비활성화하고 활성화 하니 그때서야 다시 잡네요 계속 같은 지역에 있었는데 말이죠 그래서 예약 창도 못열고 마감 됬네요 ㅎ 어플 잘만드셨어요 휼륭하네요 앞으로 이런 어플 많이 만들어주세요
1,갑자기 무슨 페이?? 웬 계좌등록? 선택사항도 아니고 강제로 계좌등록 시키는거 완전 짜증나네요ㅡㅡ 배민도 당근도 페이 서비스 원하는 사람만 등록하게 하구만 테이블링은 뭔데 무조건적으로 내 개인정보를 등록하게 하고 안하면 예약도 진행 못하게 합니까 연돈 예약하러 들어갔더니 이상한게 떠가지고 시간버리고 예약도 못하고 ㅡㅡ 갑자기 기분 드럽네여
1,"페이 도입했다며 회원가입을 다시 시킴. 인증 서버가 터졌는지 계좌 인증 과정에서 아무 것도 작동하지 않음. 인증 3회 실패했다며 가입 자체를 막아버림. 비즈니스 모델 만들어야 하는 건 이해하지만 준비 너무 부족, 무슨 생각으로 이렇게 허술하게 준비한 건지 모르겠음."
1,"원격줄서기 잘 사용하고 있었습니다. 그러나 폭탄 30개를 다 쓰니 더이상 어플을 쓸 수가 없네요. 폭탄을 충전하려면 포장을 하든 페이 결제를 하던 해야하는데 제가 사는 제주 지역 특성상 테이블링 페이를 지원하는 음식점이 너무나 적어 폭탄 충전하려면 30km 차를 타고 먹고싶지도 않은 음식점에서 포장을 해야하는데, 전화 문의해도 그 외에는 충전할 수 없다고만 하네요. 10만원에 폭탄 100개 팔면 바로 살 의향 있습니다. 제발 어플 이용 좀 하게 해주세요. 자주 가는 음식점 웨이팅이 너무 긴데 이거 때문에 가고 싶어도 못 갑니다."
1,제2의 배달어플. 이런거 개발하는 사람들이 너무 싫다. 의견남기려고 깔았지만 다시 지울것이다. 식당들한테 수수료 받아먹는다고? 결국 손님들한테 수수료 전가될거고. 이어플을 이용하는건 줄서기에 공정하지 못한 방법이다.
5,원격으로 대기 걸어놓으면 입장 할때쯤 시간 맞춰서 카톡 보내줌 시간낭비 안하고 좋음 대신 핸드폰을 잘 붙들고 있어야함 예약할 때 전화를 안해도 되는 점이 무엇보다 좋아요 줄도 대신 서주는 시스템 만족스러워요
1,별하나도아까운 편의성 진짜 첫예약부터 욕이나와서 이따위 어플은 선택한 식당까지 같이 욕하고 싶어진다. 불편하고 직관적이지 않은 인터페이스. 이 정도 수준 어플이 순위권이라니 개발자들 반성좀하세요
1,"요새 줄서기 어플써야한다고 해서 앱 깔고 가입했는데... 가게 시간 되기 전에는 원격줄서기 버튼 비활성화, 가게시간 되니까 본인인증 필요, 본인인증하니까 계좌등록까지 하라네요?? 처음부터 앱으로 원격줄서기 쓰려면 테이블링페이 써야한다고 표시를 하던가요 ㅡㅡ 기분 나빠서 앱 자체를 삭제했습니다."
4,미리 대기 걸 수 있어서 좋아요. 그런데 폭탄 충전할 수 있는 방법이 아직 없어서 쓰기만 하고 적립이 안 되네요ㅠ 식사 후 테이블링 페이도 안된다고 그러고...폭탄 충전 및 적립할 수 있는 방법을 좀 알려주세요.
1,앱 설치 후 음식점 예약 하는데 까지 이렇게 단계가 많은 앱은 처음봄. 무슨 등록할께 이리 많은지... 덕분에 예약하려고 30분전부터 대기한 식당은 예약 실패;; 다시는 안쓰고 싶은 앱임!!
1,근래 써본 앱 중 최악의 가입절차입니다. 카카오 계정으로 로그인하는데 또 다시 이메일 주소랑 개인정보를 물어보는 것이 이해가 안가고 그렇게 입력해둔 정보를 간편계좌 등록할 때 또 물어보는데 왜 이렇게 만드셨는지 모르겠네요. 심지어 인증번호나 계좌번호 입력할 때 붙여넣기 가능하게 해두지 않아서 일일이 입력해야 했네요.
3,랙이 너무 심해요... '현재 인원수가 많아 다음에 이용해주세요'는 문구가 뜨던데... 다른사람은 더 나중에 눌러도 예약이 되던데 저는 이렇게 떠서 예약 실패하니 너무 실망스럽네요ㅠ 저런 문구는 왜 뜨는 건가요?? 이용인원이 많은 식당을 어플로 편히 예약하고 방문하라는 것이 해당 어플의 목적 아닌가요?? 다른 사람이 다 예약을해버려서 '예약가능한 시간이 마감되었다'는 문구는 제가 늦은것이니 이해하겠는데 빨리 클릭했을때도 뜨는 저 문구 설명좀 부탁드립니다!
1,원격줄서기 시 화면 하단 잘려서 안보임. 수정. 재설치 후에도 여전히 화면이 잘려서 버튼이 보이지 않음.
1,"계좌정보는 왜 등록하는거며, 왜 대기팀이 2팀 이상일때만 대기가 되는겁니까? 원격대기를 편하게 하려고 이 어플이 존재하는거 아닌가요? 불편 ㅋ"
